customer_id,customer_segment,region,account_type,state_province,contract_type,payment_method,internet_service,tech_support,num_addon_services,senior_citizen,has_partner,has_dependents,paperless_billing
C00019,Mid-Market,West,Monthly,OR,Month-to-month,Bank transfer,Fiber optic,Yes,1,0,Yes,No,Yes
C00020,Small Business,South,Annual,GA,One year,Mailed check,DSL,No,0,0,No,No,Yes
C00021,Mid-Market,East,Monthly,NY,Month-to-month,Mailed check,Fiber optic,Yes,2,1,No,Yes,Yes
C00022,Small Business,South,Monthly,NC,Month-to-month,Mailed check,Fiber optic,Yes,2,0,Yes,No,Yes
C00023,Small Business,North,Monthly,MN,Month-to-month,Electronic check,None,Yes,3,0,No,No,Yes
C00024,Small Business,West,Annual,OR,Two year,Mailed check,Fiber optic,No,5,0,Yes,No,Yes
C00025,Small Business,West,Annual,AZ,One year,Bank transfer,Fiber optic,Yes,4,1,No,No,No
C00026,Small Business,East,Annual,NY,Two year,Mailed check,DSL,Yes,2,1,Yes,No,Yes
C00027,Enterprise,South,Annual,NC,One year,Electronic check,Fiber optic,No,4,0,No,No,No
C00028,Small Business,West,Annual,WA,One year,Electronic check,DSL,Yes,3,0,No,No,Yes
C00029,Mid-Market,East,Monthly,PA,Month-to-month,Mailed check,None,No,1,0,No,No,Yes
C00030,Mid-Market,South,Annual,GA,Two year,Electronic check,DSL,No,0,0,No,No,Yes
C00031,Small Business,South,Annual,NC,One year,Credit card,DSL,No,0,0,Yes,No,Yes
C00032,Mid-Market,North,Monthly,IL,Month-to-month,Credit card,Fiber optic,No,1,1,No,No,Yes
C00033,Small Business,North,Annual,IL,One year,Electronic check,DSL,No,4,0,Yes,Yes,No
C00034,Small Business,East,Annual,PA,One year,Electronic check,Fiber optic,Yes,2,1,Yes,No,Yes
C00035,Small Business,West,Monthly,WA,Month-to-month,Mailed check,Fiber optic,No,2,0,No,Yes,Yes
C00036,Mid-Market,North,Monthly,WI,Month-to-month,Mailed check,DSL,No,2,0,No,No,No
C00037,Enterprise,West,Monthly,OR,Month-to-month,Mailed check,Fiber optic,No,1,0,No,Yes,Yes
C00038,Small Business,West,Annual,AZ,Two year,Electronic check,DSL,No,4,0,Yes,No,Yes
C00039,Mid-Market,South,Monthly,TX,Month-to-month,Electronic check,Fiber optic,No,0,1,No,No,No
C00040,Mid-Market,East,Annual,NY,Two year,Credit card,DSL,No,3,0,Yes,Yes,Yes
C00041,Small Business,North,Monthly,MI,Month-to-month,Credit card,Fiber optic,Yes,5,0,No,No,Yes
C00042,Mid-Market,West,Annual,WA,One year,Electronic check,Fiber optic,No,5,1,No,No,No
C00043,Mid-Market,East,Monthly,PA,Month-to-month,Bank transfer,DSL,No,2,0,No,Yes,No
C00044,Enterprise,South,Annual,NC,Two year,Mailed check,Fiber optic,No,5,0,No,Yes,Yes
C00045,Enterprise,North,Monthly,MI,Month-to-month,Credit card,None,Yes,1,1,No,No,Yes
C00046,Small Business,West,Monthly,WA,Month-to-month,Credit card,Fiber optic,No,1,0,Yes,No,No
C00047,Small Business,South,Monthly,GA,Month-to-month,Credit card,DSL,No,2,0,No,No,Yes
C00048,Mid-Market,West,Monthly,OR,Month-to-month,Electronic check,None,Yes,0,0,No,No,Yes
C00049,Small Business,East,Monthly,VA,Month-to-month,Electronic check,DSL,No,1,0,Yes,No,Yes
C00050,Small Business,West,Annual,OR,One year,Credit card,DSL,No,5,0,Yes,No,No
C00051,Enterprise,West,Annual,AZ,Two year,Credit card,Fiber optic,Yes,4,1,Yes,No,Yes
C00052,Small Business,North,Annual,MI,One year,Credit card,DSL,Yes,1,0,No,No,Yes
C00053,Small Business,South,Annual,GA,One year,Bank transfer,None,No,1,1,No,No,Yes
C00054,Enterprise,South,Monthly,TX,Month-to-month,Electronic check,DSL,Yes,2,0,No,No,Yes
C00055,Small Business,South,Annual,NC,Two year,Electronic check,None,No,0,0,Yes,No,No
C00056,Mid-Market,North,Annual,MI,Two year,Electronic check,DSL,Yes,0,0,Yes,No,Yes
C00057,Enterprise,East,Monthly,PA,Month-to-month,Electronic check,DSL,Yes,5,0,No,No,Yes
C00058,Mid-Market,North,Annual,MN,Two year,Credit card,Fiber optic,Yes,4,0,Yes,No,No
C00059,Small Business,East,Monthly,NY,Month-to-month,Bank transfer,DSL,No,4,1,Yes,No,Yes
C00060,Small Business,East,Annual,NY,Two year,Mailed check,DSL,No,1,0,Yes,No,Yes
C00061,Enterprise,West,Annual,WA,Two year,Bank transfer,DSL,No,5,0,Yes,No,Yes
C00062,Small Business,East,Annual,PA,One year,Credit card,Fiber optic,No,1,0,Yes,Yes,No
C00063,Mid-Market,South,Monthly,FL,Month-to-month,Electronic check,DSL,No,5,1,No,No,No
C00064,Small Business,West,Annual,OR,One year,Credit card,DSL,Yes,3,0,Yes,No,No
C00065,Small Business,South,Monthly,NC,Month-to-month,Electronic check,None,No,1,0,Yes,No,Yes
C00066,Enterprise,South,Annual,NC,One year,Mailed check,Fiber optic,No,4,0,No,No,Yes
C00067,Mid-Market,West,Monthly,OR,Month-to-month,Credit card,Fiber optic,Yes,2,0,No,Yes,Yes
C00068,Enterprise,South,Annual,TX,One year,Electronic check,Fiber optic,No,1,0,No,No,No
C00069,Small Business,North,Annual,MI,Two year,Electronic check,Fiber optic,Yes,4,1,No,Yes,Yes
C00070,Mid-Market,South,Monthly,GA,Month-to-month,Electronic check,None,Yes,4,0,No,Yes,No
C00071,Enterprise,West,Monthly,AZ,Month-to-month,Mailed check,Fiber optic,No,3,0,No,Yes,No
C00072,Small Business,North,Annual,MN,One year,Electronic check,DSL,No,2,1,No,No,Yes
C00073,Small Business,South,Monthly,GA,Month-to-month,Electronic check,Fiber optic,Yes,1,0,No,No,Yes
C00074,Enterprise,North,Monthly,MI,Month-to-month,Electronic check,Fiber optic,No,2,0,No,No,Yes
C00075,Small Business,East,Monthly,PA,Month-to-month,Bank transfer,None,Yes,5,0,Yes,No,Yes
C00076,Mid-Market,South,Monthly,GA,Month-to-month,Credit card,DSL,No,2,0,Yes,No,No
C00077,Enterprise,South,Annual,GA,One year,Bank transfer,Fiber optic,No,5,0,Yes,Yes,Yes
C00078,Small Business,North,Annual,MI,One year,Credit card,Fiber optic,Yes,0,0,Yes,No,No
C00079,Small Business,East,Monthly,NY,Month-to-month,Electronic check,None,No,0,0,Yes,Yes,Yes
C00080,Small Business,East,Monthly,MA,Month-to-month,Bank transfer,None,No,1,1,No,Yes,Yes
C00081,Small Business,West,Monthly,WA,Month-to-month,Electronic check,Fiber optic,No,0,1,No,Yes,No
C00082,Small Business,South,Monthly,FL,Month-to-month,Electronic check,DSL,Yes,5,0,Yes,No,No
C00083,Mid-Market,North,Annual,MI,One year,Credit card,Fiber optic,Yes,2,1,Yes,No,Yes
C00084,Small Business,West,Monthly,OR,Month-to-month,Electronic check,DSL,No,0,0,Yes,No,No
C00085,Mid-Market,East,Annual,MA,One year,Electronic check,Fiber optic,No,3,1,No,No,No
C00086,Small Business,East,Annual,PA,Two year,Bank transfer,DSL,No,5,0,Yes,No,No
C00087,Small Business,North,Annual,MN,One year,Credit card,None,No,5,0,Yes,No,Yes
C00088,Small Business,South,Annual,NC,One year,Electronic check,Fiber optic,No,0,1,Yes,Yes,Yes
C00089,Mid-Market,West,Monthly,CA,Month-to-month,Credit card,Fiber optic,Yes,4,0,No,No,Yes
C00090,Mid-Market,West,Monthly,AZ,Month-to-month,Bank transfer,Fiber optic,No,2,0,Yes,Yes,Yes
C00091,Small Business,South,Monthly,TX,Month-to-month,Electronic check,Fiber optic,No,5,0,No,Yes,Yes
C00092,Enterprise,West,Annual,CA,One year,Electronic check,Fiber optic,Yes,3,0,No,No,Yes
C00093,Mid-Market,West,Annual,WA,Two year,Credit card,Fiber optic,Yes,4,0,No,Yes,Yes
C00094,Small Business,South,Monthly,FL,Month-to-month,Credit card,None,No,5,0,No,Yes,Yes
C00095,Enterprise,West,Monthly,AZ,Month-to-month,Mailed check,Fiber optic,No,5,0,Yes,No,Yes
C00096,Small Business,South,Monthly,TX,Month-to-month,Credit card,DSL,No,0,0,Yes,No,Yes
C00097,Small Business,North,Annual,WI,One year,Electronic check,Fiber optic,Yes,4,0,No,No,Yes
C00098,Mid-Market,East,Annual,VA,One year,Credit card,DSL,No,0,0,Yes,Yes,Yes
C00099,Small Business,East,Annual,VA,One year,Bank transfer,Fiber optic,Yes,5,0,No,No,No
C00100,Small Business,North,Annual,IL,Two year,Electronic check,None,Yes,3,0,No,No,Yes
C00101,Mid-Market,West,Monthly,WA,Month-to-month,Credit card,Fiber optic,No,1,0,Yes,No,Yes
C00102,Small Business,North,Annual,MN,One year,Electronic check,Fiber optic,No,1,0,Yes,No,Yes
C00103,Enterprise,West,Annual,AZ,One year,Bank transfer,DSL,No,5,0,No,No,Yes
C00104,Enterprise,North,Monthly,IL,Month-to-month,Bank transfer,DSL,No,3,0,No,No,Yes
C00105,Mid-Market,West,Annual,WA,Two year,Credit card,DSL,No,1,0,No,No,Yes
C00106,Mid-Market,West,Monthly,CA,Month-to-month,Mailed check,Fiber optic,Yes,4,0,Yes,Yes,No
C00107,Mid-Market,West,Annual,WA,One year,Mailed check,Fiber optic,Yes,4,0,No,Yes,No
C00108,Enterprise,East,Annual,MA,One year,Electronic check,DSL,No,0,0,Yes,No,Yes
C00109,Small Business,South,Annual,GA,Two year,Credit card,DSL,No,1,0,Yes,No,Yes
C00110,Small Business,East,Annual,NY,One year,Credit card,DSL,Yes,5,0,No,No,Yes
C00111,Mid-Market,South,Monthly,GA,Month-to-month,Electronic check,Fiber optic,Yes,2,0,No,No,Yes
C00112,Mid-Market,West,Annual,OR,Two year,Credit card,Fiber optic,Yes,0,1,Yes,No,Yes
C00113,Small Business,East,Annual,VA,One year,Electronic check,None,Yes,3,0,No,No,No
C00114,Mid-Market,South,Annual,TX,One year,Mailed check,DSL,No,5,0,Yes,No,Yes
C00115,Small Business,East,Annual,PA,One year,Credit card,Fiber optic,Yes,3,0,Yes,Yes,Yes
C00116,Enterprise,East,Monthly,MA,Month-to-month,Bank transfer,None,Yes,5,0,Yes,No,Yes
C00117,Small Business,North,Annual,WI,One year,Credit card,DSL,No,0,0,No,Yes,Yes
C00118,Small Business,North,Annual,MN,Two year,Electronic check,Fiber optic,No,4,0,Yes,No,No
C00119,Small Business,North,Monthly,MN,Month-to-month,Bank transfer,Fiber optic,No,3,0,No,No,Yes
C00120,Small Business,North,Monthly,MN,Month-to-month,Electronic check,DSL,Yes,5,0,Yes,No,Yes
C00121,Small Business,South,Annual,TX,Two year,Electronic check,Fiber optic,Yes,3,0,Yes,Yes,Yes
C00122,Small Business,East,Annual,VA,One year,Credit card,DSL,Yes,4,0,Yes,No,No
C00123,Small Business,East,Annual,PA,Two year,Bank transfer,DSL,Yes,0,0,Yes,Yes,Yes
C00124,Small Business,South,Monthly,NC,Month-to-month,Credit card,Fiber optic,Yes,0,0,No,Yes,No
C00125,Small Business,West,Annual,OR,Two year,Electronic check,None,Yes,4,0,No,No,No
C00126,Small Business,East,Monthly,NY,Month-to-month,Electronic check,Fiber optic,Yes,0,0,No,No,No
C00127,Small Business,North,Annual,MI,One year,Electronic check,Fiber optic,Yes,5,0,Yes,No,Yes
C00128,Small Business,West,Monthly,OR,Month-to-month,Electronic check,DSL,No,0,0,No,No,No
C00129,Small Business,East,Annual,MA,One year,Credit card,DSL,Yes,4,1,No,No,Yes
C00130,Small Business,East,Annual,NY,Two year,Electronic check,Fiber optic,Yes,2,0,Yes,No,No
C00131,Small Business,East,Annual,PA,One year,Electronic check,DSL,No,3,0,No,Yes,Yes
C00132,Mid-Market,East,Annual,VA,One year,Bank transfer,None,Yes,3,0,No,No,Yes
C00133,Enterprise,North,Monthly,MN,Month-to-month,Bank transfer,DSL,No,2,0,No,No,Yes
C00134,Enterprise,East,Annual,NY,One year,Electronic check,DSL,No,2,0,No,Yes,No
C00135,Mid-Market,West,Annual,CA,One year,Electronic check,Fiber optic,No,3,1,No,No,No
C00136,Mid-Market,South,Monthly,NC,Month-to-month,Electronic check,Fiber optic,Yes,4,0,No,No,Yes
C00137,Small Business,East,Annual,PA,One year,Mailed check,DSL,No,4,0,No,No,Yes
C00138,Mid-Market,North,Annual,IL,Two year,Electronic check,Fiber optic,No,2,1,No,Yes,No
C00139,Mid-Market,South,Annual,NC,One year,Electronic check,DSL,Yes,2,0,Yes,Yes,No
C00140,Enterprise,South,Annual,GA,One year,Credit card,Fiber optic,Yes,0,0,No,No,No
C00141,Enterprise,West,Monthly,OR,Month-to-month,Electronic check,Fiber optic,Yes,4,0,No,No,Yes
C00142,Small Business,North,Annual,WI,One year,Electronic check,Fiber optic,No,1,0,Yes,No,No
C00143,Mid-Market,South,Monthly,TX,Month-to-month,Electronic check,Fiber optic,Yes,2,1,No,Yes,No
C00144,Enterprise,South,Monthly,NC,Month-to-month,Bank transfer,Fiber optic,Yes,5,0,No,No,Yes
C00145,Small Business,West,Monthly,CA,Month-to-month,Credit card,DSL,No,4,0,No,No,Yes
C00146,Enterprise,West,Monthly,CA,Month-to-month,Bank transfer,DSL,No,2,0,No,Yes,Yes
C00147,Small Business,North,Monthly,IL,Month-to-month,Bank transfer,Fiber optic,Yes,2,0,Yes,Yes,Yes
C00148,Enterprise,North,Annual,WI,One year,Electronic check,Fiber optic,Yes,1,1,No,Yes,No
C00149,Mid-Market,West,Monthly,WA,Month-to-month,Mailed check,DSL,Yes,3,1,No,Yes,Yes
C00150,Small Business,North,Monthly,WI,Month-to-month,Bank transfer,Fiber optic,No,0,1,No,Yes,Yes
C00151,Mid-Market,West,Monthly,CA,Month-to-month,Bank transfer,DSL,No,5,0,Yes,Yes,Yes
C00152,Small Business,South,Annual,GA,One year,Bank transfer,DSL,No,5,0,Yes,Yes,No
C00153,Mid-Market,West,Monthly,WA,Month-to-month,Credit card,DSL,Yes,1,0,No,No,No
C00154,Mid-Market,South,Monthly,NC,Month-to-month,Electronic check,DSL,Yes,1,0,Yes,No,Yes
C00155,Mid-Market,South,Annual,NC,One year,Credit card,DSL,Yes,3,0,Yes,No,No
C00156,Enterprise,East,Monthly,NY,Month-to-month,Electronic check,None,Yes,3,0,No,No,Yes
C00157,Small Business,North,Annual,MI,Two year,Credit card,DSL,No,3,0,No,Yes,No
C00158,Small Business,East,Monthly,PA,Month-to-month,Electronic check,Fiber optic,No,0,0,No,No,No
C00159,Small Business,East,Monthly,VA,Month-to-month,Electronic check,Fiber optic,Yes,4,1,No,No,Yes
C00160,Small Business,West,Monthly,CA,Month-to-month,Mailed check,Fiber optic,No,0,0,No,No,No
C00161,Small Business,West,Annual,WA,One year,Bank transfer,Fiber optic,Yes,2,0,No,Yes,Yes
C00162,Small Business,East,Monthly,MA,Month-to-month,Credit card,DSL,No,4,0,No,Yes,Yes
C00163,Small Business,South,Annual,GA,Two year,Credit card,Fiber optic,Yes,5,1,No,No,Yes
C00164,Small Business,South,Monthly,TX,Month-to-month,Credit card,Fiber optic,No,3,0,No,Yes,No
C00165,Enterprise,South,Annual,TX,One year,Mailed check,Fiber optic,Yes,0,0,Yes,Yes,Yes
C00166,Small Business,West,Monthly,WA,Month-to-month,Bank transfer,DSL,No,4,0,Yes,Yes,Yes
C00167,Enterprise,South,Monthly,GA,Month-to-month,Credit card,DSL,No,0,1,No,No,Yes
C00168,Small Business,North,Monthly,WI,Month-to-month,Credit card,None,No,1,0,No,No,No
C00169,Small Business,South,Annual,TX,One year,Credit card,Fiber optic,No,0,0,No,Yes,Yes
C00170,Mid-Market,North,Monthly,WI,Month-to-month,Bank transfer,Fiber optic,Yes,5,0,No,No,Yes
C00171,Small Business,North,Annual,IL,Two year,Mailed check,None,No,2,0,No,No,Yes
C00172,Small Business,North,Annual,MN,One year,Credit card,DSL,Yes,3,0,Yes,Yes,No
C00173,Mid-Market,West,Annual,WA,Two year,Credit card,DSL,No,4,1,No,No,Yes
C00174,Small Business,East,Monthly,VA,Month-to-month,Credit card,DSL,Yes,5,1,No,Yes,Yes
C00175,Small Business,East,Annual,MA,One year,Credit card,Fiber optic,Yes,5,0,Yes,No,No
C00176,Mid-Market,South,Annual,TX,One year,Mailed check,DSL,No,0,0,No,No,Yes
C00177,Small Business,East,Annual,MA,One year,Bank transfer,DSL,Yes,2,0,No,No,Yes
C00178,Enterprise,North,Annual,MI,Two year,Credit card,DSL,No,2,0,No,No,No
C00179,Small Business,West,Annual,OR,One year,Credit card,DSL,Yes,4,0,Yes,Yes,Yes
C00180,Enterprise,East,Annual,NY,Two year,Credit card,Fiber optic,No,2,1,Yes,No,Yes
C00181,Mid-Market,West,Annual,OR,One year,Electronic check,Fiber optic,No,1,0,No,No,Yes
C00182,Enterprise,North,Monthly,IL,Month-to-month,Credit card,DSL,No,4,0,No,No,No
C00183,Enterprise,South,Annual,NC,One year,Bank transfer,DSL,Yes,2,0,No,No,No
C00184,Small Business,East,Monthly,PA,Month-to-month,Bank transfer,Fiber optic,Yes,4,0,Yes,Yes,Yes
C00185,Mid-Market,South,Annual,NC,Two year,Electronic check,Fiber optic,Yes,2,0,No,Yes,Yes
C00186,Small Business,South,Annual,GA,Two year,Bank transfer,None,Yes,2,0,Yes,Yes,Yes
C00187,Enterprise,North,Monthly,MI,Month-to-month,Bank transfer,Fiber optic,No,0,0,Yes,No,Yes
C00188,Mid-Market,South,Monthly,GA,Month-to-month,Electronic check,Fiber optic,Yes,0,0,Yes,No,Yes
C00189,Small Business,North,Monthly,MI,Month-to-month,Bank transfer,DSL,Yes,0,0,No,No,Yes
C00190,Enterprise,South,Monthly,NC,Month-to-month,Credit card,DSL,Yes,1,0,No,Yes,Yes
C00191,Small Business,East,Monthly,NY,Month-to-month,Bank transfer,DSL,No,2,1,Yes,Yes,No
C00192,Mid-Market,East,Annual,NY,One year,Electronic check,DSL,Yes,0,0,No,Yes,Yes
C00193,Mid-Market,East,Annual,NY,One year,Electronic check,Fiber optic,Yes,0,0,No,No,Yes
C00194,Small Business,South,Annual,FL,Two year,Credit card,None,No,5,0,No,No,Yes
C00195,Mid-Market,West,Monthly,OR,Month-to-month,Electronic check,None,Yes,5,0,No,No,Yes
C00196,Enterprise,North,Annual,WI,One year,Credit card,DSL,No,1,0,No,No,Yes
C00197,Small Business,South,Monthly,GA,Month-to-month,Bank transfer,DSL,Yes,5,0,Yes,No,Yes
C00198,Mid-Market,North,Annual,WI,Two year,Electronic check,Fiber optic,No,0,0,Yes,Yes,Yes
C00199,Small Business,South,Monthly,NC,Month-to-month,Credit card,Fiber optic,No,0,0,No,Yes,Yes
C00200,Mid-Market,West,Monthly,AZ,Month-to-month,Mailed check,Fiber optic,No,2,0,No,Yes,No
C00201,Small Business,South,Monthly,GA,Month-to-month,Credit card,Fiber optic,No,1,0,No,Yes,No
C00202,Enterprise,West,Annual,AZ,Two year,Credit card,None,No,0,0,No,No,No
C00203,Enterprise,South,Monthly,FL,Month-to-month,Credit card,Fiber optic,Yes,5,0,No,No,Yes
C00204,Small Business,East,Annual,NY,One year,Electronic check,DSL,No,5,0,No,No,No
C00205,Small Business,South,Annual,GA,One year,Electronic check,Fiber optic,No,1,0,No,No,Yes
C00206,Mid-Market,South,Annual,TX,One year,Bank transfer,Fiber optic,No,1,0,Yes,No,Yes
C00207,Mid-Market,West,Monthly,AZ,Month-to-month,Credit card,Fiber optic,No,4,0,No,No,Yes
C00208,Small Business,West,Monthly,WA,Month-to-month,Electronic check,Fiber optic,Yes,5,1,No,No,Yes
C00209,Small Business,South,Monthly,FL,Month-to-month,Electronic check,DSL,Yes,1,0,Yes,No,Yes
C00210,Small Business,West,Monthly,AZ,Month-to-month,Bank transfer,None,Yes,4,0,Yes,Yes,Yes
C00211,Enterprise,South,Annual,NC,One year,Electronic check,Fiber optic,Yes,0,0,No,No,No
C00212,Small Business,East,Monthly,VA,Month-to-month,Bank transfer,None,Yes,3,0,No,No,Yes
C00213,Enterprise,West,Monthly,OR,Month-to-month,Credit card,DSL,Yes,5,0,Yes,Yes,No
C00214,Mid-Market,South,Monthly,FL,Month-to-month,Credit card,DSL,No,2,0,Yes,Yes,No
C00215,Enterprise,East,Annual,MA,One year,Electronic check,Fiber optic,No,3,1,Yes,No,Yes
C00216,Small Business,South,Monthly,GA,Month-to-month,Electronic check,Fiber optic,No,4,1,Yes,No,Yes
C00217,Small Business,North,Annual,MI,One year,Credit card,DSL,No,3,0,No,No,Yes
C00218,Enterprise,North,Monthly,WI,Month-to-month,Bank transfer,DSL,Yes,4,0,No,No,Yes
C00219,Enterprise,South,Annual,GA,Two year,Electronic check,Fiber optic,Yes,5,0,No,No,No
C00220,Small Business,West,Annual,AZ,One year,Credit card,DSL,No,0,0,Yes,No,No
C00221,Small Business,North,Monthly,WI,Month-to-month,Credit card,Fiber optic,No,5,0,Yes,Yes,No
C00222,Small Business,South,Monthly,FL,Month-to-month,Electronic check,DSL,No,5,0,Yes,No,Yes
C00223,Small Business,East,Monthly,MA,Month-to-month,Credit card,Fiber optic,No,5,0,No,No,No
C00224,Small Business,North,Monthly,MI,Month-to-month,Electronic check,None,No,2,1,No,No,No
C00225,Enterprise,East,Monthly,NY,Month-to-month,Credit card,Fiber optic,No,3,0,Yes,No,Yes
C00226,Small Business,South,Annual,NC,Two year,Electronic check,Fiber optic,No,2,0,No,No,Yes
C00227,Mid-Market,West,Annual,WA,One year,Credit card,DSL,No,5,0,Yes,No,Yes
C00228,Small Business,East,Monthly,VA,Month-to-month,Electronic check,Fiber optic,Yes,2,0,Yes,No,Yes
C00229,Small Business,East,Annual,NY,One year,Credit card,None,Yes,1,0,No,Yes,No
C00230,Mid-Market,North,Monthly,WI,Month-to-month,Credit card,DSL,Yes,4,0,Yes,No,Yes
C00231,Small Business,South,Annual,NC,Two year,Mailed check,Fiber optic,No,0,0,No,Yes,Yes
C00232,Mid-Market,West,Monthly,AZ,Month-to-month,Credit card,Fiber optic,No,2,0,Yes,No,No
C00233,Small Business,North,Annual,WI,One year,Bank transfer,None,Yes,1,0,No,Yes,Yes
C00234,Enterprise,West,Annual,AZ,One year,Electronic check,DSL,Yes,2,0,Yes,No,Yes
C00235,Mid-Market,South,Monthly,NC,Month-to-month,Credit card,DSL,No,2,0,Yes,No,No
C00236,Enterprise,East,Monthly,VA,Month-to-month,Electronic check,Fiber optic,Yes,0,0,Yes,Yes,No
C00237,Small Business,East,Monthly,MA,Month-to-month,Credit card,None,No,5,0,No,No,No
C00238,Small Business,South,Annual,GA,Two year,Bank transfer,DSL,Yes,2,0,No,No,Yes
C00239,Small Business,South,Annual,GA,One year,Bank transfer,DSL,Yes,2,0,No,Yes,No
C00240,Mid-Market,East,Annual,VA,One year,Credit card,Fiber optic,Yes,0,0,Yes,No,No
C00241,Small Business,North,Annual,IL,One year,Bank transfer,Fiber optic,Yes,5,0,Yes,No,No
C00242,Small Business,East,Annual,PA,Two year,Electronic check,None,Yes,5,0,Yes,No,Yes
C00243,Small Business,North,Monthly,MI,Month-to-month,Electronic check,None,Yes,2,0,No,No,Yes
C00244,Small Business,East,Annual,MA,One year,Bank transfer,Fiber optic,Yes,2,0,Yes,Yes,No
C00245,Small Business,East,Annual,PA,One year,Electronic check,None,Yes,2,0,Yes,Yes,No
C00246,Small Business,North,Monthly,WI,Month-to-month,Electronic check,Fiber optic,No,5,0,No,No,Yes
C00247,Small Business,West,Annual,OR,Two year,Mailed check,Fiber optic,Yes,1,0,No,No,Yes
C00248,Mid-Market,South,Monthly,FL,Month-to-month,Mailed check,Fiber optic,Yes,4,0,Yes,Yes,No
C00249,Small Business,West,Monthly,AZ,Month-to-month,Credit card,Fiber optic,Yes,5,1,Yes,No,Yes
C00250,Small Business,North,Annual,MI,Two year,Credit card,Fiber optic,No,4,0,Yes,No,Yes
C00251,Mid-Market,North,Monthly,MN,Month-to-month,Bank transfer,Fiber optic,No,5,0,No,Yes,Yes
C00252,Mid-Market,South,Monthly,NC,Month-to-month,Electronic check,Fiber optic,No,5,0,Yes,No,Yes
C00253,Small Business,North,Monthly,IL,Month-to-month,Credit card,DSL,No,0,0,No,No,No
C00254,Mid-Market,South,Annual,NC,One year,Credit card,DSL,Yes,1,0,Yes,Yes,Yes
C00255,Enterprise,East,Annual,NY,Two year,Mailed check,DSL,No,0,1,No,Yes,Yes
C00256,Mid-Market,North,Monthly,MN,Month-to-month,Mailed check,Fiber optic,Yes,3,0,No,Yes,No
C00257,Enterprise,East,Monthly,VA,Month-to-month,Bank transfer,DSL,No,2,0,Yes,No,No
C00258,Mid-Market,North,Monthly,MN,Month-to-month,Electronic check,Fiber optic,Yes,0,0,Yes,Yes,Yes
C00259,Small Business,North,Annual,IL,Two year,Credit card,DSL,Yes,3,0,Yes,No,Yes
C00260,Small Business,East,Monthly,VA,Month-to-month,Electronic check,DSL,No,0,0,No,No,No
C00261,Mid-Market,West,Annual,AZ,Two year,Mailed check,Fiber optic,No,2,0,No,Yes,Yes
C00262,Enterprise,North,Annual,WI,Two year,Electronic check,Fiber optic,No,2,0,No,No,Yes
C00263,Small Business,South,Monthly,FL,Month-to-month,Electronic check,DSL,Yes,5,0,Yes,No,Yes
C00264,Small Business,West,Annual,OR,Two year,Bank transfer,None,Yes,4,0,Yes,Yes,Yes
C00265,Mid-Market,West,Annual,AZ,One year,Credit card,DSL,Yes,3,0,No,No,No
C00266,Small Business,East,Annual,MA,One year,Bank transfer,None,Yes,4,0,No,Yes,Yes
C00267,Mid-Market,South,Monthly,NC,Month-to-month,Electronic check,None,No,1,0,No,No,Yes
C00268,Mid-Market,South,Annual,NC,Two year,Bank transfer,Fiber optic,Yes,1,0,No,Yes,Yes
C00269,Mid-Market,East,Annual,MA,One year,Electronic check,DSL,No,4,0,No,No,Yes
C00270,Enterprise,East,Annual,VA,One year,Electronic check,Fiber optic,Yes,4,0,No,No,Yes
