customer_id,subscription_id,subscription_start_date,subscription_end_date,subscription_cost,monthly_charges,num_support_calls,support_calls_per_day,referral_code,avg_monthly_transactions,avg_transactions_per_day,tenure_days,was_referred,churned
C00021,S00021,2024-01-26,2028-10-18,85,85.24,2,0.0012,,28,0.9333,1727,0,1
C00022,S00022,2023-12-21,2025-08-25,60,60.07,2,0.0033,,23,0.7667,613,0,1
C00023,S00023,2020-09-17,2021-12-04,76,75.87,2,0.0045,,24,0.8,443,0,1
C00024,S00024,2020-11-10,2022-08-05,114,114.11,4,0.0063,,15,0.5,633,0,1
C00025,S00025,2023-09-01,,109,108.96,2,0.0015,,27,0.9,1305,0,0
C00026,S00026,2022-08-07,,82,81.86,0,0.0,,31,1.0333,685,0,0
C00027,S00027,2022-03-25,2025-06-14,71,71.04,3,0.0025,,43,1.4333,1177,0,1
C00028,S00028,2023-04-17,2025-02-10,66,65.74,0,0.0,REF547,19,0.6333,665,1,1
C00029,S00029,2020-04-06,2023-12-15,43,43.27,2,0.0015,,30,1.0,1348,0,1
C00030,S00030,2022-04-11,2022-09-26,56,56.02,0,0.0,,26,0.8667,168,0,1
C00031,S00031,2022-05-08,,64,63.66,6,0.0091,,23,0.7667,656,0,0
C00032,S00032,2023-11-04,2025-06-24,94,94.44,0,0.0,REF677,19,0.6333,598,1,1
C00033,S00033,2021-12-02,2024-12-06,102,102.1,1,0.0009,REF898,33,1.1,1100,1,1
C00034,S00034,2022-02-06,2025-05-07,71,71.32,4,0.0034,,37,1.2333,1186,0,1
C00035,S00035,2023-04-16,2026-12-01,95,94.86,1,0.0008,,16,0.5333,1325,0,1
C00036,S00036,2021-02-09,2025-07-27,88,88.38,2,0.0012,,35,1.1667,1629,0,1
C00037,S00037,2020-04-14,2024-03-29,76,75.71,3,0.0021,,52,1.7333,1445,0,1
C00038,S00038,2021-12-08,2022-04-19,83,82.91,1,0.0076,,14,0.4667,132,0,1
C00039,S00039,2022-07-04,,93,93.46,2,0.0016,,14,0.4667,1239,0,0
C00040,S00040,2022-01-01,,82,81.68,1,0.0114,,43,1.4333,88,0,0
C00041,S00041,2022-11-25,2025-01-12,119,119.29,1,0.0013,,22,0.7333,779,0,1
C00042,S00042,2021-01-15,2024-01-10,110,110.02,1,0.0009,,25,0.8333,1090,0,1
C00043,S00043,2020-01-22,2021-09-28,72,72.01,5,0.0081,,29,0.9667,615,0,1
C00044,S00044,2023-03-26,,90,89.74,5,0.0039,,39,1.3,1277,0,0
C00045,S00045,2023-06-30,,54,54.45,1,0.0007,REF575,66,2.2,1445,1,0
C00046,S00046,2022-07-15,2025-08-06,92,92.1,4,0.0036,,18,0.6,1118,0,1
C00047,S00047,2021-04-15,2023-12-14,61,61.11,2,0.0021,,25,0.8333,973,0,1
C00048,S00048,2021-07-09,2026-04-27,55,55.31,0,0.0,REF286,39,1.3,1753,1,1
C00049,S00049,2021-12-20,2025-03-29,93,92.79,3,0.0025,REF266,32,1.0667,1195,1,1
C00050,S00050,2021-09-24,,80,79.94,1,0.0022,REF685,33,1.1,458,1,0
C00051,S00051,2020-12-01,,92,92.36,1,0.0008,,39,1.3,1202,0,0
C00052,S00052,2021-07-11,,60,60.27,3,0.0033,,23,0.7667,897,0,0
C00053,S00053,2021-03-23,2021-07-02,25,25.0,3,0.0297,,5,0.1667,101,0,1
C00054,S00054,2021-11-02,,109,109.07,2,0.0012,REF997,41,1.3667,1653,1,0
C00055,S00055,2021-07-17,2025-06-30,39,38.82,0,0.0,,22,0.7333,1444,0,1
C00056,S00056,2022-03-03,,54,54.26,0,0.0,,37,1.2333,1134,0,0
C00057,S00057,2023-04-25,2026-09-07,72,72.47,0,0.0,,54,1.8,1231,0,1
C00058,S00058,2021-05-11,,98,97.79,2,0.0019,,37,1.2333,1064,0,0
C00059,S00059,2020-03-27,2022-01-13,75,74.88,0,0.0,,31,1.0333,657,0,1
C00060,S00060,2023-05-12,,96,95.51,1,0.0006,,24,0.8,1683,0,0
C00061,S00061,2020-10-06,2023-07-25,71,70.52,0,0.0,,50,1.6667,1022,0,1
C00062,S00062,2023-10-24,2025-08-03,66,65.88,1,0.0015,REF375,22,0.7333,649,1,1
C00063,S00063,2022-03-03,2025-08-05,99,99.33,3,0.0024,REF179,38,1.2667,1251,1,1
C00064,S00064,2022-02-23,,80,79.78,1,0.003,,30,1.0,333,0,0
C00065,S00065,2021-09-05,2023-05-14,47,46.93,3,0.0049,,25,0.8333,616,0,1
C00066,S00066,2022-12-03,,113,112.95,1,0.0035,REF174,30,1.0,284,1,0
C00067,S00067,2022-09-06,2023-04-02,97,97.19,1,0.0048,,38,1.2667,208,0,1
C00068,S00068,2023-10-27,2027-11-25,90,89.75,0,0.0,,43,1.4333,1490,0,1
C00069,S00069,2020-01-25,2022-04-24,82,81.51,3,0.0037,,28,0.9333,820,0,1
C00070,S00070,2020-10-14,2025-01-12,37,37.31,3,0.0019,,32,1.0667,1551,0,1
C00071,S00071,2021-02-20,2024-05-04,88,88.29,3,0.0026,,44,1.4667,1169,0,1
C00072,S00072,2020-10-11,2022-01-20,60,59.65,2,0.0043,,32,1.0667,466,0,1
C00073,S00073,2023-11-23,2025-01-23,95,94.81,1,0.0023,,18,0.6,427,0,1
C00074,S00074,2020-04-18,2022-08-21,66,66.22,2,0.0023,,44,1.4667,855,0,1
C00075,S00075,2020-06-30,2021-02-09,61,61.35,1,0.0045,,16,0.5333,224,0,1
C00076,S00076,2021-10-25,,74,74.23,5,0.0046,,36,1.2,1077,0,0
C00077,S00077,2021-01-31,2023-06-09,108,107.87,2,0.0023,,42,1.4,859,0,1
C00078,S00078,2021-05-11,2022-03-08,92,92.38,1,0.0033,REF346,17,0.5667,301,1,1
C00079,S00079,2022-06-24,2025-02-20,41,40.78,1,0.001,,23,0.7667,972,0,1
C00080,S00080,2022-04-20,2026-07-04,40,39.82,4,0.0026,,17,0.5667,1536,0,1
C00081,S00081,2023-07-20,2028-01-16,106,105.91,0,0.0,,19,0.6333,1641,0,1
C00082,S00082,2021-11-07,2024-01-04,85,85.38,1,0.0013,,25,0.8333,788,0,1
C00083,S00083,2023-11-07,,118,117.71,0,0.0,REF957,33,1.1,187,1,0
C00084,S00084,2020-10-12,2025-01-21,63,62.8,2,0.0013,,7,0.2333,1562,0,1
C00085,S00085,2020-10-18,2023-08-02,99,99.24,1,0.001,REF801,32,1.0667,1018,1,1
C00086,S00086,2021-08-09,2025-05-22,88,88.28,1,0.0007,,20,0.6667,1382,0,1
C00087,S00087,2020-06-24,,72,72.2,1,0.0072,REF806,21,0.7,138,1,0
C00088,S00088,2020-02-13,2021-09-08,79,79.28,1,0.0017,,13,0.4333,573,0,1
C00089,S00089,2021-07-10,2023-01-17,106,105.54,3,0.0054,,29,0.9667,556,0,1
C00090,S00090,2022-03-17,2025-10-13,119,119.49,3,0.0023,,25,0.8333,1306,0,1
C00091,S00091,2021-02-20,2024-07-19,125,125.28,5,0.004,,32,1.0667,1245,0,1
C00092,S00092,2021-02-10,,116,116.39,1,0.0007,,28,0.9333,1348,0,0
C00093,S00093,2020-05-25,2022-06-15,83,82.53,2,0.0027,REF399,21,0.7,751,1,1
C00094,S00094,2020-06-17,,50,49.62,1,0.0017,REF955,16,0.5333,601,1,0
C00095,S00095,2023-08-17,2024-09-09,112,111.98,1,0.0026,,42,1.4,389,0,1
C00096,S00096,2020-04-08,,80,80.33,1,0.002,REF466,33,1.1,501,1,0
C00097,S00097,2022-11-19,2023-10-30,96,95.69,2,0.0058,REF459,26,0.8667,345,1,1
C00098,S00098,2022-12-07,2027-01-07,57,56.84,3,0.002,REF943,20,0.6667,1492,1,1
C00099,S00099,2020-10-31,,131,130.8,1,0.0008,,21,0.7,1239,0,0
C00100,S00100,2021-01-06,,70,70.47,1,0.0008,,18,0.6,1239,0,0
C00101,S00101,2021-07-05,2025-11-22,107,107.43,3,0.0019,REF780,33,1.1,1601,1,1
C00102,S00102,2022-09-15,2026-05-23,83,83.44,6,0.0045,,18,0.6,1346,0,1
C00103,S00103,2020-02-24,2021-11-02,82,82.18,2,0.0032,,29,0.9667,617,0,1
C00104,S00104,2023-05-08,2025-01-01,97,96.68,1,0.0017,,45,1.5,604,0,1
C00105,S00105,2021-05-26,2022-03-03,68,68.3,1,0.0036,,39,1.3,281,0,1
C00106,S00106,2022-01-19,2025-08-27,94,94.23,2,0.0015,,28,0.9333,1316,0,1
C00107,S00107,2023-09-26,,89,89.39,1,0.0006,,32,1.0667,1581,0,0
C00108,S00108,2020-07-18,2024-02-10,60,59.82,2,0.0015,,28,0.9333,1302,0,1
C00109,S00109,2023-11-22,,86,86.5,4,0.0046,,8,0.2667,878,0,0
C00110,S00110,2022-07-10,,66,66.35,1,0.0016,,9,0.3,639,0,0
C00111,S00111,2021-10-02,2024-01-02,105,105.06,2,0.0024,,29,0.9667,822,0,1
C00112,S00112,2020-04-17,,75,74.67,1,0.0019,,29,0.9667,530,0,0
C00113,S00113,2020-04-11,,56,56.14,5,0.0144,,28,0.9333,347,0,0
C00114,S00114,2023-05-10,2025-07-28,88,88.16,4,0.0049,,27,0.9,810,0,1
C00115,S00115,2021-08-25,,96,95.97,0,0.0,REF359,32,1.0667,471,1,0
C00116,S00116,2023-02-16,,64,63.91,6,0.0045,,49,1.6333,1346,0,0
C00117,S00117,2023-06-03,2027-11-26,61,60.89,1,0.0006,,19,0.6333,1637,0,1
C00118,S00118,2021-08-26,2022-09-26,95,94.86,2,0.0051,,14,0.4667,396,0,1
C00119,S00119,2021-04-19,2021-06-28,121,120.62,4,0.0571,,7,0.2333,70,0,1
C00120,S00120,2021-02-07,,91,90.9,1,0.0006,,35,1.1667,1581,0,0
C00121,S00121,2022-08-12,,97,97.48,1,0.0018,,16,0.5333,571,0,0
C00122,S00122,2022-11-30,,76,75.69,2,0.004,,12,0.4,504,0,0
C00123,S00123,2021-06-08,,61,61.47,3,0.0019,,25,0.8333,1548,0,0
C00124,S00124,2022-04-30,2026-06-28,76,75.74,0,0.0,,10,0.3333,1520,0,1
C00125,S00125,2022-03-20,,76,76.25,2,0.0019,,25,0.8333,1070,0,0
C00126,S00126,2020-08-05,2021-07-02,74,73.94,3,0.0091,,19,0.6333,331,0,1
C00127,S00127,2022-02-27,,73,72.56,2,0.0016,REF685,31,1.0333,1287,1,0
C00128,S00128,2023-02-12,2026-10-20,69,68.93,2,0.0015,,29,0.9667,1346,0,1
C00129,S00129,2023-12-14,,82,81.53,0,0.0,,33,1.1,831,0,0
C00130,S00130,2021-05-15,,86,85.63,0,0.0,,26,0.8667,1036,0,0
C00131,S00131,2020-12-23,2023-09-12,96,96.08,5,0.005,,15,0.5,993,0,1
C00132,S00132,2023-09-02,,25,25.0,1,0.0008,,23,0.7667,1210,0,0
C00133,S00133,2023-10-11,2026-05-25,102,102.22,2,0.0021,,36,1.2,957,0,1
C00134,S00134,2023-05-29,,94,93.87,2,0.0011,,58,1.9333,1754,0,0
C00135,S00135,2021-05-18,2021-09-16,89,89.45,3,0.0248,,27,0.9,121,0,1
C00136,S00136,2021-02-17,,97,96.79,2,0.0132,,32,1.0667,151,0,0
C00137,S00137,2022-07-26,2023-06-14,94,94.07,2,0.0062,REF414,34,1.1333,323,1,1
C00138,S00138,2021-01-17,2021-12-02,104,103.5,2,0.0063,,31,1.0333,319,0,1
C00139,S00139,2023-02-28,,67,66.86,2,0.0022,,25,0.8333,927,0,0
C00140,S00140,2021-08-19,2022-03-04,60,60.13,1,0.0051,,46,1.5333,197,0,1
C00141,S00141,2021-05-05,2022-06-01,138,137.82,0,0.0,,37,1.2333,392,0,1
C00142,S00142,2023-04-21,2025-12-10,106,105.8,3,0.0031,,24,0.8,964,0,1
C00143,S00143,2021-06-16,,98,97.51,5,0.0031,,35,1.1667,1625,0,0
C00144,S00144,2020-07-14,2024-07-09,111,111.31,0,0.0,,36,1.2,1456,0,1
C00145,S00145,2023-04-07,2024-06-17,96,95.94,1,0.0023,,23,0.7667,437,0,1
C00146,S00146,2021-04-19,2021-09-21,89,88.86,4,0.0258,,53,1.7667,155,0,1
C00147,S00147,2022-09-09,2026-05-16,62,61.62,1,0.0007,,17,0.5667,1345,0,1
C00148,S00148,2022-09-15,2026-08-01,85,84.89,2,0.0014,,51,1.7,1416,0,1
C00149,S00149,2020-05-04,2024-12-05,74,74.22,2,0.0012,REF656,24,0.8,1676,1,1
C00150,S00150,2020-02-20,2022-05-13,83,83.42,2,0.0025,,36,1.2,813,0,1
C00151,S00151,2023-05-15,2023-10-23,103,102.83,2,0.0124,REF223,22,0.7333,161,1,1
C00152,S00152,2020-03-24,2024-11-16,62,61.86,2,0.0012,REF136,19,0.6333,1698,1,1
C00153,S00153,2021-05-12,,51,50.91,0,0.0,REF966,43,1.4333,560,1,0
C00154,S00154,2023-02-17,,62,61.59,2,0.0028,,43,1.4333,725,0,0
C00155,S00155,2020-09-23,,84,83.97,0,0.0,REF164,38,1.2667,780,1,0
C00156,S00156,2022-02-22,,73,72.81,4,0.0023,,33,1.1,1773,0,0
C00157,S00157,2020-06-22,2022-05-11,108,107.6,3,0.0044,,23,0.7667,688,0,1
C00158,S00158,2022-04-16,2025-02-07,81,81.42,3,0.0029,,22,0.7333,1028,0,1
C00159,S00159,2022-12-06,2025-06-30,117,117.29,1,0.0011,,15,0.5,937,0,1
C00160,S00160,2021-01-08,,97,97.36,3,0.0017,REF460,30,1.0,1782,1,0
C00161,S00161,2021-02-26,,104,103.67,0,0.0,,18,0.6,1717,0,0
C00162,S00162,2022-03-08,,86,85.61,2,0.0017,,14,0.4667,1159,0,0
C00163,S00163,2023-04-01,,102,102.11,4,0.0164,,11,0.3667,244,0,0
C00164,S00164,2022-03-28,2024-01-19,82,82.45,1,0.0015,,36,1.2,662,0,1
C00165,S00165,2022-11-18,,68,67.89,2,0.0016,REF275,38,1.2667,1218,1,0
C00166,S00166,2021-09-12,2025-09-08,92,91.55,1,0.0007,REF113,18,0.6,1457,1,1
C00167,S00167,2020-07-12,2024-04-10,67,67.13,3,0.0022,,32,1.0667,1368,0,1
C00168,S00168,2023-12-17,2026-06-11,44,43.85,5,0.0055,,33,1.1,907,0,1
C00169,S00169,2023-04-09,2026-08-17,97,96.64,0,0.0,,11,0.3667,1226,0,1
C00170,S00170,2020-03-14,2021-11-01,105,105.29,5,0.0084,,19,0.6333,597,0,1
C00171,S00171,2021-02-17,2024-04-28,40,40.39,1,0.0009,,19,0.6333,1166,0,1
C00172,S00172,2021-09-14,2024-02-23,77,77.24,5,0.0056,,22,0.7333,892,0,1
C00173,S00173,2020-05-02,,99,99.13,1,0.0008,,36,1.2,1249,0,0
C00174,S00174,2023-07-10,,74,74.12,4,0.0025,,19,0.6333,1577,0,0
C00175,S00175,2020-09-16,2024-10-11,112,111.85,1,0.0007,,34,1.1333,1486,0,1
C00176,S00176,2020-11-05,,67,67.11,3,0.0022,,26,0.8667,1334,0,0
C00177,S00177,2021-04-20,2025-02-14,65,64.83,2,0.0014,,14,0.4667,1396,0,1
C00178,S00178,2023-11-03,2024-10-30,72,72.31,3,0.0083,,31,1.0333,362,0,1
C00179,S00179,2020-12-04,2021-12-20,61,60.85,1,0.0026,REF773,16,0.5333,381,1,1
C00180,S00180,2021-09-30,2025-11-27,97,96.75,1,0.0007,,31,1.0333,1519,0,1
C00181,S00181,2022-10-20,,69,68.66,2,0.002,REF354,37,1.2333,1001,1,0
C00182,S00182,2020-08-22,,103,103.16,1,0.0012,,34,1.1333,810,0,0
C00183,S00183,2020-05-13,,76,75.53,1,0.0008,,41,1.3667,1217,0,0
C00184,S00184,2020-05-19,,95,94.85,1,0.0049,,16,0.5333,204,0,0
C00185,S00185,2020-10-02,,114,113.57,1,0.0029,,22,0.7333,347,0,0
C00186,S00186,2021-05-05,,38,38.49,2,0.0063,,33,1.1,316,0,0
C00187,S00187,2023-11-12,2026-09-22,74,74.04,2,0.0019,,53,1.7667,1045,0,1
C00188,S00188,2023-10-11,2024-04-03,57,56.73,1,0.0057,,39,1.3,175,0,1
C00189,S00189,2022-05-03,2022-09-17,89,88.95,2,0.0146,REF817,10,0.3333,137,1,1
C00190,S00190,2023-11-09,2027-03-30,102,102.47,0,0.0,,29,0.9667,1237,0,1
C00191,S00191,2020-02-13,2023-10-13,50,50.22,1,0.0007,REF594,38,1.2667,1338,1,1
C00192,S00192,2022-04-24,,55,54.95,2,0.0039,,29,0.9667,508,0,0
C00193,S00193,2021-10-28,2025-04-12,87,87.12,1,0.0008,REF681,18,0.6,1262,1,1
C00194,S00194,2020-06-26,2021-02-08,60,60.25,2,0.0088,,31,1.0333,227,0,1
C00195,S00195,2022-04-09,,68,68.0,2,0.0026,REF701,32,1.0667,772,1,0
C00196,S00196,2021-11-15,,71,70.62,1,0.0014,,47,1.5667,696,0,0
C00197,S00197,2023-02-19,2024-12-12,97,97.02,1,0.0015,,4,0.1333,662,0,1
C00198,S00198,2021-09-18,2026-01-03,71,70.62,5,0.0032,,26,0.8667,1568,0,1
C00199,S00199,2021-10-05,2022-04-19,89,89.08,4,0.0204,,30,1.0,196,0,1
C00200,S00200,2020-12-12,2024-02-08,77,77.14,4,0.0035,,24,0.8,1153,0,1
C00201,S00201,2021-12-09,2023-05-29,84,83.91,1,0.0019,,32,1.0667,536,0,1
C00202,S00202,2020-04-24,2022-10-17,25,25.0,1,0.0011,REF272,29,0.9667,906,1,1
C00203,S00203,2022-04-29,2023-06-13,102,102.03,1,0.0024,REF509,39,1.3,410,1,1
C00204,S00204,2021-07-26,2025-03-22,81,81.34,6,0.0045,,35,1.1667,1335,0,1
C00205,S00205,2021-02-14,2021-07-29,106,105.6,5,0.0303,,13,0.4333,165,0,1
C00206,S00206,2021-07-11,2022-01-19,90,89.55,2,0.0104,,31,1.0333,192,0,1
C00207,S00207,2023-08-30,2025-05-23,106,105.96,2,0.0032,,34,1.1333,632,0,1
C00208,S00208,2022-11-21,2027-04-05,108,108.14,1,0.0006,,23,0.7667,1596,0,1
C00209,S00209,2023-07-02,,38,38.43,0,0.0,,22,0.7333,101,0,0
C00210,S00210,2021-08-14,2022-08-18,32,32.05,3,0.0081,,15,0.5,369,0,1
C00211,S00211,2021-08-13,2024-02-14,81,80.9,0,0.0,,42,1.4,915,0,1
C00212,S00212,2020-01-20,2020-04-26,64,63.96,0,0.0,,21,0.7,97,0,1
C00213,S00213,2022-10-20,,87,86.74,0,0.0,,31,1.0333,989,0,0
C00214,S00214,2020-01-31,2021-12-21,63,63.18,0,0.0,,38,1.2667,690,0,1
C00215,S00215,2023-12-29,2027-03-26,96,95.65,1,0.0008,,33,1.1,1183,0,1
C00216,S00216,2022-10-28,2023-04-07,99,98.77,3,0.0186,,11,0.3667,161,0,1
C00217,S00217,2021-11-29,2022-12-01,94,93.96,2,0.0054,REF799,17,0.5667,367,1,1
C00218,S00218,2022-09-18,,98,97.57,3,0.0086,,35,1.1667,350,0,0
C00219,S00219,2024-01-30,2027-10-04,100,99.65,2,0.0015,,38,1.2667,1343,0,1
C00220,S00220,2020-08-28,,67,67.2,4,0.003,,14,0.4667,1345,0,0
C00221,S00221,2023-01-23,2023-10-12,113,112.92,1,0.0038,REF310,26,0.8667,262,1,1
C00222,S00222,2023-07-23,2025-08-25,97,97.29,4,0.0052,,33,1.1,764,0,1
C00223,S00223,2022-05-29,,135,134.94,3,0.0023,REF202,25,0.8333,1284,1,0
C00224,S00224,2022-09-20,2022-12-01,55,54.55,3,0.0417,REF472,10,0.3333,72,1,1
C00225,S00225,2022-01-29,2022-09-21,118,118.2,2,0.0085,REF903,33,1.1,235,1,1
C00226,S00226,2020-08-19,2023-11-12,76,76.44,0,0.0,REF389,24,0.8,1180,1,1
C00227,S00227,2024-01-11,2026-11-18,80,80.3,2,0.0019,,13,0.4333,1042,0,1
C00228,S00228,2021-03-07,2024-09-17,61,60.83,1,0.0008,,12,0.4,1290,0,1
C00229,S00229,2021-08-01,,53,52.92,2,0.0023,REF445,11,0.3667,871,1,0
C00230,S00230,2023-12-31,2028-06-16,96,96.36,2,0.0012,,30,1.0,1629,0,1
C00231,S00231,2020-03-25,,45,45.11,1,0.0036,REF213,41,1.3667,278,1,0
C00232,S00232,2021-09-03,2022-07-29,98,98.01,3,0.0091,REF753,19,0.6333,329,1,1
C00233,S00233,2022-04-13,2025-06-21,60,60.17,2,0.0017,,29,0.9667,1165,0,1
C00234,S00234,2020-12-21,2025-03-21,86,85.76,1,0.0006,,35,1.1667,1551,0,1
C00235,S00235,2022-10-02,2023-01-09,58,57.87,3,0.0303,,18,0.6,99,0,1
C00236,S00236,2022-02-25,2025-09-10,98,98.37,0,0.0,,53,1.7667,1293,0,1
C00237,S00237,2021-01-28,2025-11-15,69,68.65,1,0.0006,,39,1.3,1752,0,1
C00238,S00238,2020-11-04,,86,86.46,2,0.0019,,27,0.9,1040,0,0
C00239,S00239,2021-03-05,,75,74.99,1,0.0007,REF403,27,0.9,1506,1,0
C00240,S00240,2023-04-02,2024-08-29,92,92.1,1,0.0019,REF252,29,0.9667,515,1,1
C00241,S00241,2022-02-20,,126,126.25,0,0.0,,23,0.7667,1460,0,0
C00242,S00242,2023-04-06,2025-08-09,65,65.24,0,0.0,REF191,25,0.8333,856,1,1
C00243,S00243,2022-12-13,,60,59.55,1,0.0017,,29,0.9667,579,0,0
C00244,S00244,2023-04-16,,115,115.0,2,0.005,,37,1.2333,404,0,0
C00245,S00245,2023-07-06,,53,52.87,1,0.0006,REF382,20,0.6667,1544,1,0
C00246,S00246,2022-07-14,2026-02-11,90,90.49,3,0.0023,REF282,23,0.7667,1308,1,1
C00247,S00247,2021-06-24,,101,101.32,4,0.0028,,23,0.7667,1432,0,0
C00248,S00248,2022-11-07,2026-05-14,127,126.96,1,0.0008,,37,1.2333,1284,0,1
C00249,S00249,2023-11-17,2025-04-04,129,129.12,1,0.002,,41,1.3667,504,0,1
C00250,S00250,2021-04-27,,115,115.44,4,0.0102,,32,1.0667,393,0,0
C00251,S00251,2022-01-01,2025-04-02,71,70.99,3,0.0025,,35,1.1667,1187,0,1
C00252,S00252,2023-08-11,2024-12-22,98,98.33,3,0.006,,36,1.2,499,0,1
C00253,S00253,2022-06-14,,59,58.65,1,0.0008,REF545,34,1.1333,1187,1,0
C00254,S00254,2020-08-04,2025-01-17,73,73.22,0,0.0,,48,1.6,1627,0,1
C00255,S00255,2021-06-09,2025-03-03,95,95.01,4,0.0029,,27,0.9,1363,0,1
C00256,S00256,2021-01-16,,82,82.21,0,0.0,,36,1.2,880,0,0
C00257,S00257,2021-12-17,2026-06-15,113,112.88,3,0.0018,,19,0.6333,1641,0,1
C00258,S00258,2024-01-29,2026-11-12,80,79.88,1,0.001,,37,1.2333,1018,0,1
C00259,S00259,2023-06-13,,69,69.23,2,0.0023,,28,0.9333,877,0,0
C00260,S00260,2023-12-11,2028-09-03,82,81.52,1,0.0006,,18,0.6,1728,0,1
C00261,S00261,2023-01-17,,110,109.79,4,0.0062,,10,0.3333,643,0,0
C00262,S00262,2022-01-31,,105,105.4,2,0.0048,,42,1.4,420,0,0
C00263,S00263,2022-09-16,2023-07-14,78,78.19,3,0.01,,24,0.8,301,0,1
C00264,S00264,2022-01-18,2025-03-14,72,72.03,1,0.0009,REF483,21,0.7,1151,1,1
C00265,S00265,2020-03-02,,65,64.96,0,0.0,,26,0.8667,947,0,0
C00266,S00266,2020-06-24,2024-04-30,51,51.24,3,0.0021,,15,0.5,1406,0,1
C00267,S00267,2022-04-12,2023-02-21,49,48.98,3,0.0095,,29,0.9667,315,0,1
C00268,S00268,2022-09-16,,77,77.38,0,0.0,,25,0.8333,615,0,0
C00269,S00269,2021-01-15,,103,102.84,1,0.0037,,37,1.2333,270,0,0
C00270,S00270,2020-02-16,,95,94.75,0,0.0,,41,1.3667,597,0,0
C00271,S00271,2020-04-14,,64,64.47,3,0.0017,,17,0.5667,1730,0,0
C00272,S00272,2021-04-16,2025-09-22,76,76.42,3,0.0019,,30,1.0,1620,0,1
C00273,S00273,2023-07-15,,67,67.1,4,0.0043,,34,1.1333,923,0,0
C00274,S00274,2021-09-19,,57,57.34,1,0.0043,REF546,55,1.8333,232,1,0
C00275,S00275,2023-12-31,2028-11-25,118,117.77,5,0.0028,,47,1.5667,1791,0,1
C00276,S00276,2023-09-02,2024-07-31,103,103.1,4,0.012,,15,0.5,333,0,1
C00277,S00277,2023-07-11,2024-03-02,101,101.36,0,0.0,,40,1.3333,235,0,1
C00278,S00278,2023-12-23,,82,81.97,1,0.0013,REF429,13,0.4333,775,1,0
C00279,S00279,2020-12-29,,56,56.42,1,0.0006,,42,1.4,1697,0,0
C00280,S00280,2023-12-31,2027-12-19,104,103.73,2,0.0014,,35,1.1667,1449,0,1
C00281,S00281,2023-10-17,2025-09-01,105,105.39,6,0.0088,,34,1.1333,685,0,1
C00282,S00282,2023-04-13,2025-08-11,66,65.82,2,0.0024,,37,1.2333,851,0,1
C00283,S00283,2020-10-15,2021-03-29,100,100.24,3,0.0182,REF187,32,1.0667,165,1,1
C00284,S00284,2021-03-10,2022-08-22,43,42.68,2,0.0038,REF798,28,0.9333,530,1,1
C00285,S00285,2022-09-05,,103,102.79,1,0.0008,,29,0.9667,1225,0,0
C00286,S00286,2020-03-09,2022-05-09,110,109.89,2,0.0025,,24,0.8,791,0,1
C00287,S00287,2023-05-17,2028-03-14,93,92.71,1,0.0006,,34,1.1333,1763,0,1
C00288,S00288,2021-09-30,2024-01-13,79,79.23,2,0.0024,,28,0.9333,835,0,1
C00289,S00289,2020-02-02,2024-04-14,102,102.46,3,0.002,REF592,36,1.2,1533,1,1
C00290,S00290,2021-03-22,,79,78.65,1,0.0008,,29,0.9667,1325,0,0
